latlong,latitude,longitude,local_authority_district,junction_control,junction_detail,number_of_casualties,number_of_vehicles
"52.505, -0.469",52.505,-0.469,382.0,4.0,6.0,3372,124
"50.612, -2.454",50.612,-2.454,646.0,4.0,1.0,729,54
"53.24, -1.421",53.24,-1.421,322.0,4.0,3.0,441,63
"52.359, -0.043",52.359,-0.043,393.0,4.0,6.0,404,44
"56.548, -2.94",56.548,-2.94,912.0,4.0,3.0,370,44
"55.576, -4.43",55.576,-4.43,919.0,4.0,1.0,361,19
"51.394, 0.515",51.394,0.515,544.0,4.0,9.0,225,60
"52.084, -0.749",52.084,-0.749,479.0,4.0,5.0,196,42
"53.358, -0.19",53.358,-0.19,351.0,4.0,6.0,186,86
"53.478, -2.234",53.478,-2.234,102.0,2.0,3.0,170,27
"53.802, -1.533",53.802,-1.533,204.0,4.0,3.0,169,26
"53.472, -1.036",53.472,-1.036,211.0,4.0,8.0,153,30
"53.489, -2.101",53.489,-2.101,110.0,4.0,3.0,144,24
"51.048, 0.371",51.048,0.371,555.0,4.0,3.0,144,12
"53.514, -2.247",53.514,-2.247,102.0,4.0,3.0,144,84
"52.504, 0.083",52.504,0.083,392.0,4.0,3.0,121,33
"53.253, -3.202",53.253,-3.202,724.0,4.0,5.0,121,22
"53.256, 0.095",53.256,0.095,351.0,4.0,3.0,110,41
"53.44, -0.723",53.44,-0.723,356.0,4.0,3.0,100,20
"50.834, -0.189",50.834,-0.189,565.0,4.0,3.0,100,40
"56.204, -3.475",56.204,-3.475,934.0,4.0,6.0,100,20
"51.378, 0.228",51.378,0.228,538.0,4.0,3.0,100,30
"53.106, -1.213",53.106,-1.213,340.0,2.0,6.0,100,66
"55.819, -4.234",55.819,-4.234,926.0,4.0,3.0,100,20
